건강관리 판매업체,건강관리 서비스,헬스케어 관리,제약,건강관리 시설,생물공학,건강관리 기술,생명과학 도구 및 서비스,건강관리 장비,건강관리 용품
대원제약,씨엔알리서치,씨젠,녹십자,퓨쳐켐,고바이오랩,한미약품,보로노이,한국비엔씨,씨젠
에이프로젠바이오로직스,지씨셀,인피니트헬스케어,대원제약,피플바이오,나이벡,CMG제약,비엘,휴마시스,HLB
한미약품,차바이오텍,휴메딕스,동아에스티,JW중외제약,보로노이,나노엔텍,셀바스AI,더블유에스아이,HLB생명과학
한올바이오파마,프레스티지바이오로직스,한컴라이프케어,에이프로젠바이오로직스,SK바이오사이언스,비엘,나이벡,안국약품,세운메디칼,수젠텍
환인제약,휴럼,EDGC,일동홀딩스,블레이드 Ent,압타머사이언스,대봉엘에스,압타머사이언스,얼라인드,제넨바이오
CMG제약,바텍,HLB,한미약품,씨젠,이노테라피,보로노이,압타바이오,원텍,티앤엘
나노엔텍,블레이드 Ent,신일제약,한올바이오파마,클래시스,테고사이언스,비엘,제놀루션,인바디,파나진
나이벡,인피니트헬스케어,아미코젠,환인제약,광동제약,파멥신,셀바스AI,젠큐릭스,케어젠,더메디팜
뉴트리,지니너스,에이치엘사이언스,CMG제약,대한약품,팜스빌,압타바이오,파멥신,코렌텍,녹십자엠에스
대봉엘에스,진시스템,에이프로젠,고바이오랩,셀레믹스,휴온스글로벌,이노테라피,바이오노트,파마리서치,대웅
루트로닉,EDGC,솔본,나이벡,시너지이노베이션,바이오노트,젠큐릭스,삼성바이오로직스,하이로닉,바디텍메드
메타바이오메드,에이치엘사이언스,콜마비앤에이치,대봉엘에스,씨티씨바이오,삼성바이오로직스,파멥신,DXVX,대웅제약,알리코제약
비엘,지노믹트리,유유제약,보로노이,차백신연구소,DXVX,팜스빌,더블유에스아이,동화약품,원바이오젠
솔고바이오,코미팜,셀트리온제약,비엘,한국파마,박셀바이오,바이오노트,레고켐바이오,디알젬,클리노믹스
안국약품,피엔케이피부임상연구센타,우정바이오,안국약품,화일약품,비피도,삼일제약,박셀바이오,디알텍,피씨엘
압타바이오,네오펙트,유비케어,압타머사이언스,더메디팜,신테카바이오,종근당바이오,샤페론,레이언스,한스바이오메드
이글벳,마크로젠,클리노믹스,에스티팜,녹십자엠에스,애니젠,DXVX,신라젠,비스토스,
제놀루션,바이오솔루션,,엔지켐생명과학,펩트론,얼라인드,국전약품,애니젠,엘앤씨바이오,
제이브이엠,뷰노,,옵투스제약,동아쏘시오홀딩스,우진비앤지,레고켐바이오,얼라인드,오스테오닉,
테고사이언스,솔본,,제놀루션,유유제약,케어젠,비보존 제약,에이비엘바이오,이오플로우,
팜스빌,유바이오로직스,,테고사이언스,셀트리온제약,코렌텍,비씨월드제약,엔케이맥스,제노레이,
국제약품,신흥,,파멥신,알리코제약,코오롱생명과학,샤페론,우진비앤지,제이시스메디칼,
바이오노트,드림씨아이에스,,한국비엔씨,우정바이오,파마리서치,신라젠,제넥신,제테마,
삼일제약,엔젠바이오,,휴온스글로벌,퀀타매트릭스,대웅제약,신테카바이오,케어젠,케이바이오,
일성신약,우정바이오,,국제약품,,셀트리온,애니젠,코렌텍,프리시젼바이오,
DXVX,유비케어,,삼성바이오로직스,,디엔에이링크,얼라인드,코스맥스엔비티,피플바이오,
경남제약,클리노믹스,,삼일제약,,메디톡스,에이비엘바이오,코오롱생명과학,한독,
국전약품,팬젠,,일성신약,,바이오톡스텍,우진비앤지,HK이노엔,디오,
더블유에스아이,피씨엘,,종근당바이오,,셀트리온헬스케어,인바디,JW신약,리메드,
동국제약,,,DXVX,,씨엔알리서치,제넥신,디엔에이링크,바이오니아,
레고켐바이오,,,경남제약,,엘앤씨바이오,케어젠,랩지노믹스,바이오다인,
비보존 제약,,,고려제약,,이수앱지스,파마리서치,메드팩토,바텍,
비씨월드제약,,,국전약품,,제테마,셀트리온,메디톡스,에이프로젠 H&G,
비피도,,,더블유에스아이,,지씨셀,메드팩토,바이오톡스텍,엠아이텍,
세운메디칼,,,동국제약,,차바이오텍,바이오톡스텍,아시아종묘,인피니트헬스케어,
알피바이오,,,레고켐바이오,,케이바이오,비스토스,에스바이오메딕스,일신바이오,
얼라인드,,,비보존 제약,,프레스티지바이오로직스,씨엔알리서치,이수앱지스,진시스템,
우진비앤지,,,비씨월드제약,,SK바이오사이언스,아이큐어,제노레이,클래시스,
인바디,,,비피도,,바이오니아,에스씨엠생명과학,제테마,휴메딕스,
케어젠,,,샤페론,,바이오다인,오스테오닉,차바이오텍,덴티움,
코렌텍,,,세운메디칼,,싸이토젠,이오플로우,케이바이오,에스디바이오센서,
코스맥스엔비티,,,신라젠,,에이비온,제테마,JW중외제약,한컴라이프케어,
코오롱생명과학,,,알피바이오,,에이프로젠 H&G,지씨셀,JW홀딩스,EDGC,
파마리서치,,,애니젠,,일신바이오,케이바이오,SK바이오사이언스,HLB,
하이로닉,,,에이비엘바이오,,지니너스,프레스티지바이오로직스,부광약품,HLB생명과학,
대웅제약,,,엔케이맥스,,진바이오텍,프리시젼바이오,한독,바이오플러스,
동화약품,,,우진비앤지,,테라젠이텍스,바이오다인,HLB제약,뷰웍스,
셀트리온,,,제넥신,,헬릭스미스,싸이토젠,HLB테라퓨틱스,비올,
이연제약,,,케어젠,,JW생명과학,지니너스,바이오니아,서린바이오,
HK이노엔,,,코오롱생명과학,,에스디바이오센서,진시스템,싸이토젠,세종메디칼,
JW신약,,,파마리서치,,영진약품,헬릭스미스,에이비온,수젠텍,
경동제약,,,한국유니온제약,,바이젠셀,휴메딕스,에이프로젠 H&G,시너지이노베이션,
대성미생물,,,대웅제약,,서린바이오,JW생명과학,일신바이오,제넨바이오,
디알젬,,,동화약품,,셀레믹스,하나제약,중앙백신,지노믹트리,
디알텍,,,셀트리온,,셀리드,EDGC,지니너스,지더블유바이텍,
디엔에이링크,,,이연제약,,시너지이노베이션,바이오플러스,진바이오텍,티앤엘,
레이언스,,,HK이노엔,,아미코젠,바이젠셀,큐리언트,플라즈맵,
메디톡스,,,JW신약,,알테오젠,뷰웍스,테라젠이텍스,피엔케이피부임상연구센타,
셀트리온헬스케어,,,경동제약,,에이치엘사이언스,세종메디칼,헬릭스미스,휴비츠,
아시아종묘,,,대성미생물,,제넨바이오,셀레믹스,동성제약,경보제약,
에스바이오메딕스,,,메드팩토,,지노믹트리,셀리드,에스디바이오센서,더메디팜,
엘앤씨바이오,,,메디톡스,,차백신연구소,수젠텍,EDGC,오리엔트바이오,
이수앱지스,,,바이오톡스텍,,파나진,씨티씨바이오,바이오플러스,네오펙트,
제노레이,,,셀트리온헬스케어,,에이프로젠,아미코젠,바이젠셀,녹십자엠에스,
제이시스메디칼,,,씨엔알리서치,,HLB바이오스텝,알테오젠,비올,레이,
지씨셀,,,아이큐어,,바이오솔루션,애드바이오텍,서린바이오,멕아이씨에스,
케이바이오,,,에스바이오메딕스,,쎌바이오텍,에이치엘사이언스,세종메디칼,엘앤케이바이오,
퓨쳐켐,,,에스씨엠생명과학,,유바이오로직스,인벤티지랩,셀레믹스,진매트릭스,
프리시젼바이오,,,엘앤씨바이오,,큐라클,차백신연구소,셀리드,동아쏘시오홀딩스,
하이텍팜,,,이수앱지스,,동아쏘시오홀딩스,티앤엘,알테오젠,신흥,
휴럼,,,이오플로우,,진원생명과학,파나진,에이치엘사이언스,유유제약,
JW중외제약,,,제테마,,드림씨아이에스,플라즈맵,인벤티지랩,덴티스,
SK바이오사이언스,,,차바이오텍,,마이크로디지탈,피엔케이피부임상연구센타,제넨바이오,드림씨아이에스,
부광약품,,,퓨쳐켐,,셀트리온제약,휴비츠,지노믹트리,디티앤씨알오,
서흥,,,프레스티지바이오로직스,,아이진,삼진제약,지더블유바이텍,라이프시맨틱스,
신풍제약,,,하이텍팜,,원바이오젠,네오펙트,차백신연구소,마이크로디지탈,
한독,,,JW중외제약,,인트론바이오,레이,오리엔트바이오,메디아나,
대화제약,,,JW홀딩스,,퀀타매트릭스,마크로젠,일동제약,바디텍메드,
디오,,,SK바이오사이언스,,클리노믹스,바이오솔루션,HLB바이오스텝,알리코제약,
바이오다인,,,부광약품,,티움바이오,뷰노,네오펙트,우정바이오,
바텍,,,서흥,,팬젠,솔본,엘앤케이바이오,유비케어,
블레이드 Ent,,,신풍제약,,휴젤,유틸렉스,유바이오로직스,이루다,
서울제약,,,유한양행,,,제노포커스,유틸렉스,인터로조,
에이프로젠 H&G,,,한독,,,제이엘케이,제이엘케이,퀀타매트릭스,
엠아이텍,,,HLB제약,,,진매트릭스,지놈앤컴퍼니,피씨엘,
인피니트헬스케어,,,HLB테라퓨틱스,,,큐라클,지엘팜텍,,
일신바이오,,,대화제약,,,펩트론,진매트릭스,,
중앙백신,,,블레이드 Ent,,,덴티스,콜마비앤에이치,,
진바이오텍,,,서울제약,,,라이프시맨틱스,큐라클,,
진시스템,,,에이프로젠 H&G,,,아이진,종근당,,
진양제약,,,일신바이오,,,엔젠바이오,녹십자웰빙,,
큐리언트,,,중앙백신,,,올릭스,드림씨아이에스,,
클래시스,,,진양제약,,,이루다,디티앤씨알오,,
테라젠이텍스,,,큐리언트,,,인터로조,바디텍메드,,
휴메딕스,,,테라젠이텍스,,,인트론바이오,아이진,,
휴온스,,,휴메딕스,,,지아이이노베이션,알리코제약,,
광동제약,,,휴온스,,,카이노스메드,엔젠바이오,,
덴티움,,,JW생명과학,,,코아스템켐온,오스코텍,,
동성제약,,,광동제약,,,클리노믹스,올릭스,,
에스디바이오센서,,,동성제약,,,팬젠,우정바이오,,
영진약품,,,영진약품,,,피씨엘,지아이이노베이션,,
팜젠사이언스,,,팜젠사이언스,,,한스바이오메드,카이노스메드,,
한컴라이프케어,,,하나제약,,,,퀀타매트릭스,,
HLB,,,HLB,,,,클리노믹스,,
대한약품,,,대한약품,,,,티움바이오,,
바이오플러스,,,바이오플러스,,,,휴젤,,
뷰웍스,,,바이젠셀,,,,,,
비올,,,삼천당제약,,,,,,
삼천당제약,,,셀레믹스,,,,,,
수젠텍,,,시너지이노베이션,,,,,,
시너지이노베이션,,,신일제약,,,,,,
신일제약,,,씨티씨바이오,,,,,,
씨티씨바이오,,,아미코젠,,,,,,
에이치엘사이언스,,,알테오젠,,,,,,
위더스제약,,,애드바이오텍,,,,,,
제넨바이오,,,위더스제약,,,,,,
지노믹트리,,,인벤티지랩,,,,,,
지더블유바이텍,,,제넨바이오,,,,,,
코미팜,,,코미팜,,,,,,
티앤엘,,,피엔케이피부임상연구센타,,,,,,
파나진,,,한국파마,,,,,,
플라즈맵,,,화일약품,,,,,,
피엔케이피부임상연구센타,,,경보제약,,,,,,
한국파마,,,더메디팜,,,,,,
화일약품,,,삼진제약,,,,,,
휴비츠,,,에이프로젠,,,,,,
삼진제약,,,오리엔트바이오,,,,,,
에이프로젠,,,일동제약,,,,,,
오리엔트바이오,,,현대약품,,,,,,
일동제약,,,HLB바이오스텝,,,,,,
현대약품,,,그린생명과학,,,,,,
네오펙트,,,녹십자엠에스,,,,,,
녹십자엠에스,,,메디포스트,,,,,,
레이,,,바이오솔루션,,,,,,
메디포스트,,,쎌바이오텍,,,,,,
멕아이씨에스,,,아미노로직스,,,,,,
비엘팜텍,,,유바이오로직스,,,,,,
쎌바이오텍,,,유틸렉스,,,,,,
아미노로직스,,,제노포커스,,,,,,
엘앤케이바이오,,,지놈앤컴퍼니,,,,,,
유틸렉스,,,지엘팜텍,,,,,,
지엘팜텍,,,콜마비앤에이치,,,,,,
진매트릭스,,,펩트론,,,,,,
콜마비앤에이치,,,대웅,,,,,,
대웅,,,동아쏘시오홀딩스,,,,,,
동아쏘시오홀딩스,,,유유제약,,,,,,
신흥,,,일양약품,,,,,,
유유제약,,,종근당,,,,,,
일양약품,,,진원생명과학,,,,,,
진원생명과학,,,네이처셀,,,,,,
녹십자웰빙,,,녹십자웰빙,,,,,,
덴티스,,,드림씨아이에스,,,,,,
라이프시맨틱스,,,디티앤씨알오,,,,,,
메디아나,,,삼아제약,,,,,,
바디텍메드,,,셀트리온제약,,,,,,
삼아제약,,,신신제약,,,,,,
셀트리온제약,,,아이진,,,,,,
신신제약,,,알리코제약,,,,,,
알리코제약,,,오스코텍,,,,,,
엔젠바이오,,,우정바이오,,,,,,
오스코텍,,,인트론바이오,,,,,,
이루다,,,카이노스메드,,,,,,
인터로조,,,코아스템켐온,,,,,,
코아스템켐온,,,티움바이오,,,,,,
퀀타매트릭스,,,팬젠,,,,,,
팬젠,,,휴젤,,,,,,
휴젤,,,,,,,,,
