반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어
덕산하이메탈,성문전자,세경하이테크,핌스,기가레인
티이엠씨,휴네시온,제이앤티씨,포인트엔지니어링,현우산업
큐에스아이,엠브레인,삼양옵틱스,아바코,코맥스
러셀,콤텍시스템,아이디스,피엔에이치테크,덕우전자
코미코,인포뱅크,알로이스,디이엔티,와이솔
파두,KG모빌리언스,나무가,이브이첨단소재,해성옵틱스
케이피에스,모아데이타,대주전자재료,한국컴퓨터,세경하이테크
에이엘티,핑거,이미지스,이녹스첨단소재,제이앤티씨
파인텍,시큐센,필에너지,신도기연,삼양옵틱스
씨아이에스,벨로크,삼성전기,야스,와이제이엠게임즈
티씨케이,파수,엔피디,신화인터텍,아이디스
넥스트칩,큐로컴,앤씨앤,인베니아,알로이스
티엘비,에프앤가이드,에스티큐브,덕산네오룩스,엔텔스
피에스케이,원익피앤이,한국컴퓨터,에스에이티이엔지,나무가
서플러스글로벌,코콤,유비벨록스,참엔지니어링,와이팜
테스,코나아이,하나기술,미래나노텍,텔레필드
DB하이텍,파이오링크,재영솔루텍,제이스텍,아이즈비전
SFA반도체,광전자,하이비젼시스템,LG디스플레이,대주전자재료
라온테크,SGA솔루션즈,동양이엔피,베셀,이미지스
기가레인,쿠콘,한일진공,우리바이오,알에프텍
아이앤씨,케이씨에스,경인전자,영우디에스피,신라섬유
유진테크,케이엘넷,디에이피,동아엘텍,에치에프알
케이알엠,가온그룹,탑엔지니어링,LX세미콘,머큐리
매커스,이니텍,바이오로그디바이스,브이원텍,아이크래프트
코맥스,샌즈랩,새빗켐,아나패스,고영
삼성전자,트윔,옵트론텍,DMS,삼성전기
하이딥,리노스,엘컴텍,에이텍,휴림네트웍스
오픈엣지테크놀로지,모니터랩,슈프리마,엘엠에스,엔피디
엠케이전자,삼진,캠시스,예선테크,앤씨앤
제우스,포시에스,피엔티,,에이스테크
하이소닉,유비쿼스,두산퓨얼셀,,케이엠더블유
네패스,아이티아이즈,슈피겐코리아,,성우전자
지오엘리먼트,이글루,비에이치,,에스티큐브
HPSP,이노인스트루먼트,인포마크,,상신이디피
제이티,코맥스,엠플러스,,웨이브일렉트로
일진디스플,카카오페이,이노메트리,,CS
제이엠티,NICE,에이에프더블류,,블루콤
KX하이텍,플랜티넷,지아이텍,,한국컴퓨터
GST,에이텍모빌리티,원준,,쏠리드
하나마이크론,피피아이,LG디스플레이,,한솔테크닉스
케이씨,에스에스알,에스퓨얼셀,,아모센스
옴니시스템,원티드랩,에이치앤비디자인,,유비벨록스
SK하이닉스,티라유텍,트루엔,,재영솔루텍
디아이,브리지텍,브이원텍,,하이비젼시스템
이라이콤,현대에이치티,LG에너지솔루션,,컨버즈
저스템,씨아이테크,코아시아씨엠,,한일진공
예스티,한컴위드,,,디에이피
엔시트론,엠로,,,탑엔지니어링
티에프이,텔코웨어,,,유일에너테크
비케이홀딩스,TJ미디어,,,씨엔플러스
제너셈,유엔젤,,,바이오로그디바이스
엘오티베큠,알체라,,,옵트론텍
테크윙,우리넷,,,엘컴텍
마이크로투나노,솔트룩스,,,캠시스
오킨스전자,알로이스,,,슈프리마
오션브릿지,엔텔스,,,디스플레이텍
유니테스트,나무기술,,,슈피겐코리아
비아트론,케이사인,,,비에이치
HLB이노베이션,이노뎁,,,다보링크
픽셀플러스,인지소프트,,,LG이노텍
텔레칩스,이노시뮬레이션,,,RF머트리얼즈
바이옵트로,세중,,,LG디스플레이
포인트엔지니어링,카페24,,,상아프론테크
더코디,아톤,,,에이엔피
필에너지,인포바인,,,엑스큐어
티에스이,한국전자금융,,,뉴프렉스
라온텍,KG이니시스,,,트루엔
코스텍시스,이미지스,,,빛샘전자
LB루셈,핸디소프트,,,코아시아씨엠
에스티아이,알서포트,,,다산네트웍스
APS,대아티아이,,,
피엠티,링크제니시스,,,
월덱스,한국정보공학,,,
지니틱스,SGA,,,
KEC,아이크래프트,,,
샘씨엔에스,헥토파이낸셜,,,
한미반도체,디모아,,,
에이팩트,에스넷,,,
원익IPS,이노와이어리스,,,
피에스케이홀딩스,휴림네트웍스,,,
젬백스,바이브컴퍼니,,,
동진쎄미켐,에이스테크,,,
리노공업,APS,,,
제주반도체,미래아이앤지,,,
한국전자홀딩스,와이더플래닛,,,
마이크로컨텍솔,현대오토에버,,,
윈팩,한국정보통신,,,
하나기술,지니언스,,,
원익QnC,코닉오토메이션,,,
피델릭스,플래티어,,,
에스앤에스텍,메디프론,,,
오디텍,데이타솔루션,,,
한양디지텍,투비소프트,,,
SK스퀘어,더존비즈온,,,
와이씨켐,토마토시스템,,,
테크엘,영림원소프트랩,,,
에스에이티이엔지,이브이첨단소재,,,
미래반도체,모코엠시스,,,
신성이엔지,링네트,,,
두산퓨얼셀,소프트캠프,,,
에프에스티,라온피플,,,
엑시콘,슈프리마에이치큐,,,
유니셈,폴라리스오피스,,,
램테크놀러지,웹케시,,,
LB세미콘,삼성에스디에스,,,
주성엔지니어링,포스코DX,,,
원준,윈스,,,
자람테크놀로지,쏠리드,,,
타이거일렉,수산아이앤티,,,
베셀,유비벨록스,,,
로체시스템즈,비플라이소프트,,,
한솔아이원스,재영솔루텍,,,
영우디에스피,씨유박스,,,
유니트론텍,유니온커뮤니티,,,
씨앤지하이테크,에스트래픽,,,
해성디에스,컨버즈,,,
DMS,오파스넷,,,
어보브반도체,누리플렉스,,,
기가비스,오비고,,,
뉴파워프라즈마,파인테크닉스,,,
톱텍,비즈니스온,,,
코세스,네오리진,,,
,버넥트,,,
,다보링크,,,
,소프트센,,,
,인포마크,,,
,라온시큐어,,,
,유비쿼스홀딩스,,,
,이노룰스,,,
,한솔인티큐브,,,
,미래나노텍,,,
,갤럭시아머니트리,,,
,미디어젠,,,
,율호,,,
,마음AI,,,
,케이씨티,,,
,알티캐스트,,,
,AP위성,,,
,비트나인,,,
,우리바이오,,,
,산돌,,,
,에이치앤비디자인,,,
,엑스큐어,,,
,인텔리안테크,,,
,인성정보,,,
,동아엘텍,,,
,한글과컴퓨터,,,
,쌍용정보통신,,,
,시티랩스,,,
,싸이버원,,,
,엠젠솔루션,,,
,키네마스터,,,
,에이텍,,,
,가비아,,,
,씨이랩,,,
,톱텍,,,
,케이아이엔엑스,,,
,디지캡,,,
,다산네트웍스,,,
